dec_region,dec_vct_report_date,dec_total nitrogen,dec_total phosphorus,dec_dissolved phosphorus,dec_chlorophyll-a,dec_secchi depth,dec_temperature
Main Lake Central,2019-11-04,0.4,11.0,8.0,3.82,5.0,11.8
Main Lake Central,2019-11-05,0.4,11.0,8.0,3.82,5.0,11.8
Main Lake Central,2019-11-06,0.4,11.0,8.0,3.82,5.0,11.8
Main Lake Central,2019-11-07,0.4,11.0,8.0,3.82,5.0,11.8
Main Lake Central,2019-11-08,0.4,11.0,8.0,3.82,5.0,11.8
Main Lake Central,2019-11-09,,,,,,
Main Lake Central,2019-11-10,,,,,,
Main Lake Central,2019-11-11,,,,,,
Main Lake Central,2019-11-12,,,,,,
Main Lake Central,2019-11-13,,,,,,
Main Lake Central,2019-11-14,,,,,,
Main Lake Central,2019-11-15,,,,,,
Main Lake Central,2020-06-15,0.41,12.4,7.7,5.92,4.0,11.4
Main Lake Central,2020-06-24,0.43,10.3,8.2,3.81,5.1,17.05
Main Lake Central,2020-06-26,0.43,10.3,8.2,3.81,5.1,17.05
Main Lake Central,2020-06-27,0.43,10.3,8.2,3.81,5.1,17.05
Main Lake Central,2020-06-29,0.43,10.3,8.2,3.81,5.1,17.05
Main Lake Central,2020-06-30,0.38,10.9,5.0,5.19,5.5,18.3
Main Lake Central,2020-07-01,0.38,10.9,5.0,5.19,5.5,18.3
Main Lake Central,2020-07-02,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,18.3
Main Lake Central,2020-07-03,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-04,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-05,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-06,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-07,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-08,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-09,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-10,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-11,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-12,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-13,0.42000000000000004,11.4,7.6499999999999995,9.42,4.0,
Main Lake Central,2020-07-14,0.405,10.875,7.074999999999999,7.82,4.75,22.8
Main Lake Central,2020-07-15,0.405,10.875,7.074999999999999,7.82,4.75,22.8
Main Lake Central,2020-07-16,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-17,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-18,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-19,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-20,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-21,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-22,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-23,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-24,0.3925,9.899999999999999,6.3,5.605,5.6,22.55
Main Lake Central,2020-07-25,0.4083333333333334,10.666666666666666,6.516666666666666,5.293333333333333,5.8999999999999995,22.566666666666666
Main Lake Central,2020-07-26,0.4083333333333334,10.666666666666666,6.516666666666666,5.293333333333333,5.8999999999999995,22.566666666666666
Main Lake Central,2020-07-27,0.4083333333333334,10.666666666666666,6.516666666666666,5.293333333333333,5.8999999999999995,22.566666666666666
Main Lake Central,2020-07-28,0.4175,10.825,6.5249999999999995,4.83,6.1,22.450000000000003
Main Lake Central,2020-07-29,0.4175,10.825,6.5249999999999995,4.83,6.1,22.450000000000003
Main Lake Central,2020-07-30,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-07-31,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-01,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-02,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-03,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-04,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-05,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-06,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-07,0.43999999999999995,12.2,6.949999999999999,4.67,6.5,22.6
Main Lake Central,2020-08-08,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-09,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-10,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-11,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-12,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-13,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-14,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-15,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-16,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-17,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-18,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-19,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-20,0.43,11.3,8.35,6.23,4.5,23.0
Main Lake Central,2020-08-21,0.4075,11.4,7.475,6.115,4.65,23.0
Main Lake Central,2020-08-22,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-23,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-24,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-25,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-26,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-27,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-28,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-29,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-30,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-08-31,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-09-01,0.385,11.5,6.6,6.0,4.8,23.0
Main Lake Central,2020-09-02,0.385,11.1,6.8,6.45,4.699999999999999,21.85
Main Lake Central,2020-09-03,0.385,11.1,6.8,6.45,4.699999999999999,21.85
Main Lake Central,2020-09-04,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-05,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-06,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-07,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-08,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-09,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-10,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-11,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-13,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-14,0.385,10.7,7.0,6.9,4.6,20.7
Main Lake Central,2020-09-16,,,,,,
Main Lake Central,2020-09-17,,,,,,
Main Lake Central,2020-09-18,,,,,,
Main Lake Central,2020-09-19,,,,,,
Main Lake Central,2020-09-20,,,,,,
Main Lake Central,2020-09-21,,,,,,
Main Lake Central,2020-09-22,,,,,,
Main Lake Central,2020-09-23,0.41,11.9,8.5,4.27,10.0,15.8
Main Lake Central,2020-09-24,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-25,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-26,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-27,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-28,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-29,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-09-30,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-01,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-02,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-03,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-04,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-05,0.41500000000000004,11.25,8.3,4.6899999999999995,7.6,15.850000000000001
Main Lake Central,2020-10-07,0.42000000000000004,10.600000000000001,8.1,5.11,5.2,15.9
Main Lake Central,2020-10-08,,,,,,
Main Lake Central,2020-10-09,,,,,,
Main Lake Central,2020-10-11,0.32,10.3,5.5,2.68,6.7,14.5
Main Lake Central,2020-10-12,0.32,10.3,5.5,2.68,6.7,14.5
Main Lake Central,2020-10-14,0.32,10.3,5.5,2.68,6.7,14.5
Main Lake Central,2020-10-15,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-16,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-18,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-19,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-20,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-21,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-22,0.39,12.2,7.4,2.54,6.8,13.9
Main Lake Central,2020-10-23,0.405,11.75,8.350000000000001,2.505,7.6,13.55
Main Lake Central,2020-10-25,0.405,11.75,8.350000000000001,2.505,7.6,13.55
Main Lake Central,2020-10-26,0.405,11.75,8.350000000000001,2.505,7.6,13.55
Main Lake Central,2020-10-28,0.405,11.75,8.350000000000001,2.505,7.6,13.55
Main Lake Central,2020-10-29,0.42,11.3,9.3,2.47,8.4,13.2
Main Lake Central,2020-10-30,0.42,11.3,9.3,2.47,8.4,13.2
Main Lake Central,2020-11-01,0.42,11.3,9.3,2.47,8.4,13.2
Main Lake Central,2020-11-04,0.42,11.3,9.3,2.47,8.4,13.2
Main Lake Central,2020-11-05,0.42,11.3,9.3,2.47,8.4,13.2
Main Lake Central,2021-06-20,0.36,10.1,6.0,2.6,4.6,15.5
Main Lake Central,2021-06-21,0.36,10.1,6.0,2.6,4.6,15.5
Main Lake Central,2021-06-22,0.36,10.1,6.0,2.6,4.6,15.5
Main Lake Central,2021-06-23,0.36,10.1,6.0,2.6,4.6,15.5
Main Lake Central,2021-06-24,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-25,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-26,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-27,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-28,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-29,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-06-30,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-07-01,0.375,8.600000000000001,5.4,2.41,7.1,17.4
Main Lake Central,2021-07-02,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-03,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-04,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-05,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-06,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-07,0.3675,8.575000000000001,5.2,3.46,5.8,18.75
Main Lake Central,2021-07-08,0.36,8.55,5.0,4.51,4.5,20.1
Main Lake Central,2021-07-09,0.3525,9.075000000000001,5.075,4.865,4.8,19.5
Main Lake Central,2021-07-10,0.3525,9.075000000000001,5.075,4.865,4.8,19.5
Main Lake Central,2021-07-11,0.3525,9.075000000000001,5.075,4.865,4.8,19.5
Main Lake Central,2021-07-12,0.3525,9.075000000000001,5.075,4.865,4.8,19.5
Main Lake Central,2021-07-13,0.35833333333333334,9.4,5.216666666666667,4.28,5.0,19.633333333333333
Main Lake Central,2021-07-14,0.35833333333333334,9.4,5.216666666666667,4.28,5.0,19.633333333333333
Main Lake Central,2021-07-15,0.35833333333333334,9.4,5.216666666666667,4.28,5.0,19.633333333333333
Main Lake Central,2021-07-16,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-17,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-18,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-19,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-20,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-21,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-22,0.3575,9.825000000000001,5.325,4.165,5.25,19.4
Main Lake Central,2021-07-23,0.37,10.05,5.5,3.11,5.4,19.9
Main Lake Central,2021-07-24,0.37,10.05,5.5,3.11,5.4,19.9
Main Lake Central,2021-07-25,0.37,10.05,5.5,3.11,5.4,19.9
Main Lake Central,2021-07-26,0.37,10.05,5.5,3.11,5.4,19.9
Main Lake Central,2021-07-27,0.37,10.3,5.6499999999999995,6.34,3.6,20.6
Main Lake Central,2021-07-28,0.37,10.3,5.6499999999999995,6.34,3.6,20.6
Main Lake Central,2021-07-29,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-07-30,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-07-31,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-01,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-02,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-03,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-04,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-05,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-06,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-08,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-09,0.3675,9.6,5.6,4.99,4.05,21.05
Main Lake Central,2021-08-10,0.365,8.899999999999999,5.55,3.64,4.5,21.5
Main Lake Central,2021-08-11,0.365,8.899999999999999,5.55,3.64,4.5,21.5
Main Lake Central,2021-08-12,,,,,,
Main Lake Central,2021-08-13,,,,,,
Main Lake Central,2021-08-14,0.375,10.6,12.100000000000001,5.67,4.8,23.0
Main Lake Central,2021-08-15,0.375,10.6,12.100000000000001,5.67,4.8,23.0
Main Lake Central,2021-08-16,0.375,10.6,12.100000000000001,5.67,4.8,23.0
Main Lake Central,2021-08-17,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-18,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-19,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-20,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-21,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-22,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-23,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-24,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-25,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-26,0.38,9.55,9.325000000000001,5.085,5.15,22.8
Main Lake Central,2021-08-27,0.36999999999999994,9.549999999999999,8.566666666666668,4.489999999999999,5.533333333333334,23.5
Main Lake Central,2021-08-29,0.3675,9.025,6.800000000000001,3.9,5.9,23.75
Main Lake Central,2021-08-30,0.3675,9.025,6.800000000000001,3.9,5.9,23.75
Main Lake Central,2021-08-31,0.35,9.55,7.050000000000001,3.3,6.3,24.9
Main Lake Central,2021-09-01,0.35,9.55,7.050000000000001,3.3,6.3,24.9
Main Lake Central,2021-09-02,0.35,9.55,7.050000000000001,3.3,6.3,24.9
Main Lake Central,2021-09-03,0.35,9.55,7.050000000000001,3.3,6.3,24.9
Main Lake Central,2021-09-04,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-05,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-06,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-07,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-08,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-09,0.3575,12.3,6.825,3.49,5.699999999999999,23.049999999999997
Main Lake Central,2021-09-10,0.365,15.05,6.6,3.68,5.1,21.2
Main Lake Central,2021-09-12,0.365,15.05,6.6,3.68,5.1,21.2
Main Lake Central,2021-09-13,0.365,15.05,6.6,3.68,5.1,21.2
Main Lake Central,2021-09-14,0.365,15.05,6.6,3.68,5.1,21.2
Main Lake Central,2021-09-15,0.365,12.475000000000001,6.775,4.065,5.75,20.45
Main Lake Central,2021-09-16,0.365,12.475000000000001,6.775,4.065,5.75,20.45
Main Lake Central,2021-09-17,0.365,12.475000000000001,6.775,4.065,5.75,20.45
Main Lake Central,2021-09-18,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-19,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-20,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-21,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-22,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-23,0.365,9.9,6.95,4.45,6.4,19.7
Main Lake Central,2021-09-24,0.3675,10.175,6.75,3.875,6.25,19.35
Main Lake Central,2021-09-25,0.3675,10.175,6.75,3.875,6.25,19.35
Main Lake Central,2021-09-26,0.3675,10.175,6.75,3.875,6.25,19.35
Main Lake Central,2021-09-27,0.3675,10.175,6.75,3.875,6.25,19.35
Main Lake Central,2021-09-28,0.3675,10.175,6.75,3.875,6.25,19.35
Main Lake Central,2021-09-29,0.37,10.45,6.55,3.3,6.1,19.0
Main Lake Central,2021-09-30,0.37,10.45,6.55,3.3,6.1,19.0
Main Lake Central,2021-10-02,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-03,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-04,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-05,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-06,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-07,0.37,10.475,7.0,3.115,6.15,18.25
Main Lake Central,2021-10-08,0.38,9.4,6.65,3.2199999999999998,6.1,17.3
Main Lake Central,2021-10-09,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-10,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-11,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-12,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-13,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-14,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-15,0.38499999999999995,9.85,6.783333333333334,3.563333333333333,6.233333333333333,17.3
Main Lake Central,2021-10-16,0.39249999999999996,9.525,6.449999999999999,3.88,6.25,17.200000000000003
Main Lake Central,2021-10-18,0.39249999999999996,9.525,6.449999999999999,3.88,6.25,17.200000000000003
Main Lake Central,2021-10-19,0.39249999999999996,9.525,6.449999999999999,3.88,6.25,17.200000000000003
Main Lake Central,2021-10-20,0.39249999999999996,9.525,6.449999999999999,3.88,6.25,17.200000000000003
Main Lake Central,2021-10-21,0.39249999999999996,9.525,6.449999999999999,3.88,6.25,17.200000000000003
Main Lake Central,2021-10-22,0.39499999999999996,10.75,7.05,4.25,6.5,17.3
Main Lake Central,2021-10-24,,,,,,
Main Lake Central,2021-10-25,,,,,,
Main Lake Central,2021-10-26,,,,,,
Main Lake Central,2021-10-27,,,,,,
Main Lake Central,2021-10-28,,,,,,
Main Lake Central,2021-10-29,,,,,,
Main Lake Central,2021-10-30,,,,,,
Main Lake Central,2021-11-02,,,,,,
Main Lake Central,2021-11-03,,,,,,
Main Lake Central,2021-11-04,,,,,,
Main Lake Central,2021-11-05,,,,,,
Main Lake Central,2021-11-07,,,,,,
Main Lake Central,2021-11-09,,,,,,
Main Lake Central,2021-11-10,,,,,,
Main Lake Central,2021-11-11,,,,,,
Main Lake Central,2021-11-12,,,,,,
Main Lake Central,2021-11-14,,,,,,
Main Lake Central,2021-11-15,,,,,,
Main Lake Central,2021-11-18,,,,,,
Main Lake Central,2021-11-19,,,,,,
Main Lake Central,2022-06-20,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-21,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-22,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-23,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-24,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-25,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-26,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-27,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-28,0.22,10.35,7.4,6.33,3.1,
Main Lake Central,2022-06-29,,,,,,
Main Lake Central,2022-06-30,,,,,,
Main Lake Central,2022-07-01,,,,,,
Main Lake Central,2022-07-02,,,,,,
Main Lake Central,2022-07-03,,,,,,
Main Lake Central,2022-07-04,,,,,,
Main Lake Central,2022-07-05,,,,,,
Main Lake Central,2022-07-06,,,,,,
Main Lake Central,2022-07-07,,,,,,
Main Lake Central,2022-07-08,,,,,,
Main Lake Central,2022-07-09,,,,,,
Main Lake Central,2022-07-10,,,,,,
Main Lake Central,2022-07-11,,,,,,
Main Lake Central,2022-07-12,,,,,,
Main Lake Central,2022-07-13,,,,,,
Main Lake Central,2022-07-14,0.485,17.7,7.25,11.4,2.65,
Main Lake Central,2022-07-15,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-16,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-17,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-18,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-19,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-20,0.4475,14.95,7.3,11.100000000000001,2.65,
Main Lake Central,2022-07-21,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-22,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-24,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-25,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-26,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-27,0.42166666666666663,14.083333333333334,7.583333333333333,8.303333333333333,4.425,
Main Lake Central,2022-07-28,0.38166666666666665,12.133333333333335,7.75,5.91,5.85,
Main Lake Central,2022-07-29,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-07-30,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-07-31,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-08-01,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-08-02,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-08-03,0.3675,12.100000000000001,7.95,3.465,5.85,
Main Lake Central,2022-08-04,0.365,11.850000000000001,7.75,4.22,5.5,
Main Lake Central,2022-08-05,0.365,11.850000000000001,7.75,4.22,5.5,
Main Lake Central,2022-08-06,0.4375,11.925,9.625,3.96,5.85,
Main Lake Central,2022-08-07,0.4375,11.925,9.625,3.96,5.85,
Main Lake Central,2022-08-08,0.4375,11.925,9.625,3.96,5.85,
Main Lake Central,2022-08-09,0.4375,11.925,9.625,3.96,5.85,
Main Lake Central,2022-08-10,0.4375,11.925,9.625,3.96,5.85,
Main Lake Central,2022-08-11,0.4375,11.35,8.8,3.93,5.95,
Main Lake Central,2022-08-12,0.4375,11.35,8.8,3.93,5.95,
Main Lake Central,2022-08-13,0.4375,11.35,8.8,3.93,5.95,
Main Lake Central,2022-08-14,0.4375,11.35,8.8,3.93,5.95,
Main Lake Central,2022-08-15,0.4375,11.35,8.8,3.93,5.95,
Main Lake Central,2022-08-16,0.4375,11.35,8.8,3.93,5.166666666666667,
Main Lake Central,2022-08-17,0.4375,11.35,8.8,3.93,5.166666666666667,
Main Lake Central,2022-08-18,0.4375,11.35,8.8,3.93,5.166666666666667,
Main Lake Central,2022-08-19,0.4375,11.35,8.8,3.93,5.166666666666667,
Main Lake Central,2022-08-20,0.365,10.7,6.1,4.16,4.65,
Main Lake Central,2022-08-21,0.365,10.7,6.1,4.16,4.65,
Main Lake Central,2022-08-22,0.365,10.7,6.1,4.16,4.65,
Main Lake Central,2022-08-23,0.365,10.7,6.1,4.16,4.65,
Main Lake Central,2022-08-24,0.365,10.7,6.1,4.16,4.65,
Main Lake Central,2022-08-25,0.5800000000000001,11.350000000000001,8.5,6.15,3.6500000000000004,
Main Lake Central,2022-08-26,0.5800000000000001,11.350000000000001,8.5,6.15,3.6500000000000004,
Main Lake Central,2022-08-27,0.5800000000000001,11.350000000000001,8.5,6.15,3.6500000000000004,
Main Lake Central,2022-08-28,0.5800000000000001,11.350000000000001,8.5,6.15,3.6500000000000004,
Main Lake Central,2022-08-29,0.5800000000000001,11.350000000000001,8.5,6.15,3.6500000000000004,
Main Lake Central,2022-08-30,0.5800000000000001,11.350000000000001,8.5,6.15,3.7,
Main Lake Central,2022-08-31,0.5800000000000001,11.350000000000001,8.5,6.15,3.7,
Main Lake Central,2022-09-01,0.5800000000000001,11.350000000000001,8.5,6.15,3.7,
Main Lake Central,2022-09-02,0.5800000000000001,11.350000000000001,8.5,6.15,3.7,
Main Lake Central,2022-09-03,0.5800000000000001,11.350000000000001,8.5,6.15,3.7,
