usgs_report_date,usgs_water_temp_max,usgs_water_temp_min,usgs_water_temp_mean,usgs_conductivity_max,usgs_conductivity_min,usgs_conductivity_mean
2014-09-30,,,,,,
2014-10-01,18.7,17.2,17.9,,,
2014-10-02,17.95,16.5,17.2,179.0,170.0,173.0
2014-10-03,17.633333333333333,16.266666666666666,16.933333333333334,178.0,170.0,173.5
2014-10-04,17.55,16.325,16.924999999999997,178.33333333333334,171.0,174.0
2014-10-05,17.46,16.34,16.9,181.5,168.5,174.5
2014-10-06,17.349999999999998,16.316666666666666,16.816666666666666,182.0,169.4,175.2
2014-10-07,17.185714285714287,16.214285714285715,16.67142857142857,182.33333333333334,170.0,175.83333333333334
2014-10-08,16.8,15.957142857142856,16.357142857142854,182.85714285714286,170.57142857142858,176.14285714285714
2014-10-09,16.62857142857143,15.87142857142857,16.25714285714286,184.85714285714286,171.28571428571428,177.0
2014-10-10,16.371428571428574,15.700000000000001,16.02857142857143,186.14285714285714,171.28571428571428,177.14285714285714
2014-10-11,16.071428571428573,15.37142857142857,15.714285714285714,185.42857142857142,170.85714285714286,176.71428571428572
2014-10-12,15.785714285714286,15.114285714285714,15.428571428571429,183.14285714285714,172.14285714285714,176.14285714285714
2014-10-13,15.542857142857141,14.885714285714284,15.200000000000001,182.57142857142858,172.14285714285714,175.71428571428572
2014-10-14,15.328571428571427,14.7,15.014285714285714,182.28571428571428,172.28571428571428,175.28571428571428
2014-10-15,15.285714285714286,14.542857142857144,14.900000000000002,181.85714285714286,172.28571428571428,175.42857142857142
2014-10-16,15.257142857142856,14.557142857142859,14.857142857142858,180.0,171.71428571428572,174.85714285714286
2014-10-17,15.385714285714286,14.657142857142857,14.957142857142857,179.28571428571428,171.57142857142858,174.42857142857142
2014-10-18,15.471428571428572,14.828571428571431,15.085714285714285,180.28571428571428,171.71428571428572,174.85714285714286
2014-10-19,15.514285714285716,14.842857142857143,15.142857142857142,182.0,171.85714285714286,175.85714285714286
2014-10-20,15.457142857142856,14.62857142857143,15.014285714285714,183.0,172.14285714285714,176.71428571428572
2014-10-21,15.3,14.457142857142857,14.842857142857143,182.0,171.42857142857142,176.14285714285714
2014-10-22,15.0,14.314285714285713,14.642857142857142,182.28571428571428,170.85714285714286,175.57142857142858
2014-10-23,14.642857142857142,13.985714285714286,14.314285714285713,182.85714285714286,171.85714285714286,176.42857142857142
